Generation,Individual_Index_In_Pop,Fitness,PPG,Slot_0_Player_ID,Slot_1_Player_ID,Slot_2_Player_ID,Slot_3_Player_ID,Slot_4_Player_ID,Slot_5_Player_ID,Slot_6_Player_ID
2,29,-9925.447647058823,74.55235294117648,40,187,195,65,26,182,96
2,30,87.09235294117647,87.09235294117647,98,163,31,1,49,82,64
2,31,-9939.99705882353,60.002941176470586,167,141,150,29,190,123,148
2,32,87.2570588235294,87.2570588235294,36,137,99,3,88,46,75
2,33,87.73176470588237,87.73176470588237,127,56,4,3,86,142,117
2,34,88.41235294117647,88.41235294117647,47,10,54,204,7,182,64
2,35,106.44000000000001,106.44000000000001,47,10,68,27,1,82,6
2,36,73.41529411764705,73.41529411764705,91,141,54,204,7,182,117
2,37,91.92647058823529,91.92647058823529,154,56,4,3,86,142,64
2,38,69.16941176470588,69.16941176470588,127,176,195,11,8,117,88
2,39,-9920.351176470589,79.64882352941177,92,37,107,48,24,82,129
2,40,-19922.54,77.46,133,37,56,151,42,199,136
2,41,-9919.597058823529,80.40294117647059,106,137,99,3,88,46,148
2,42,83.54058823529412,83.54058823529412,36,6,171,58,114,192,14
2,43,62.54941176470588,62.54941176470588,138,125,59,27,24,147,176
2,44,62.460588235294125,62.460588235294125,154,38,70,180,204,131,166
2,45,-9924.109411764706,75.89058823529412,152,121,37,51,26,182,145
2,46,73.98058823529412,73.98058823529412,91,150,104,55,73,117,71
2,47,81.46941176470588,81.46941176470588,91,121,37,51,26,69,142
2,48,-9911.33294117647,88.66705882352942,108,80,2,86,17,144,19
2,49,-9927.760588235295,72.23941176470586,127,56,6,57,190,170,120
2,50,90.23235294117647,90.23235294117647,122,100,4,3,86,142,64
2,51,88.64882352941176,88.64882352941176,47,10,54,204,7,142,64
2,52,77.6964705882353,77.6964705882353,127,164,4,3,86,182,117
2,53,70.65411764705883,70.65411764705883,92,107,41,193,51,139,114
2,54,-9924.016470588236,75.98352941176469,47,173,2,8,55,192,171
2,55,55.32058823529412,55.32058823529412,167,93,176,148,73,199,117
2,56,91.17235294117647,91.17235294117647,47,10,54,204,7,181,25
2,57,78.22470588235292,78.22470588235292,47,173,2,8,55,192,147
2,58,74.17,74.17,77,184,100,24,65,142,114
2,59,-9929.175294117647,70.82470588235293,98,163,31,145,33,181,177
2,60,79.53764705882352,79.53764705882352,118,137,125,1,49,82,64
2,61,67.27235294117648,67.27235294117648,92,135,171,71,168,131,15
2,62,-9921.297647058824,78.70235294117647,108,43,18,179,35,181,100
2,63,74.06705882352941,74.06705882352941,106,6,171,204,7,182,117
2,64,-9912.404705882353,87.59529411764706,47,10,54,58,128,192,14
2,65,-9916.197058823529,83.80294117647058,132,99,101,3,86,142,64
2,66,81.7770588235294,81.7770588235294,127,56,4,5,11,139,174
2,67,76.69529411764707,76.69529411764707,92,107,4,193,51,142,64
2,68,83.01,83.01,127,56,4,3,86,139,171
2,69,78.86588235294118,78.86588235294118,91,121,37,51,26,182,142
2,70,100.8035294117647,100.8035294117647,91,56,68,27,1,82,6
2,71,-9928.494117647058,71.50588235294117,91,141,68,27,198,139,101
2,72,89.19647058823529,89.19647058823529,36,165,178,153,1,82,6
2,73,-9915.762352941176,84.23764705882353,85,72,23,35,33,181,177
2,74,-9945.689411764706,54.31058823529412,118,137,125,145,185,144,157
2,75,-9922.321764705883,77.67823529411764,98,149,135,129,24,15,48
2,76,91.34411764705884,91.34411764705884,127,56,4,3,86,142,64
2,77,-9918.735882352941,81.26411764705882,91,141,68,27,35,181,100
2,78,94.39647058823529,94.39647058823529,92,43,18,179,1,82,6
2,79,-9916.048823529412,83.95117647058824,40,59,134,64,30,111,39
2,80,-9931.58,68.42,146,134,178,32,153,123,160
2,81,-9912.87705882353,87.12294117647059,91,141,68,27,1,82,142
2,82,-9909.90705882353,90.09294117647059,40,121,37,51,26,182,6
2,83,-9912.863529411765,87.13647058823531,127,56,4,3,79,199,55
2,84,-9917.968235294118,82.03176470588237,122,25,70,105,86,142,64
2,85,-9932.574117647058,67.42588235294117,36,137,99,193,51,139,171
2,86,-29914.872352941176,85.12764705882353,92,93,41,3,88,46,148
2,87,71.9964705882353,71.9964705882353,98,163,31,175,119,182,44
2,88,78.01764705882353,78.01764705882353,130,166,107,1,49,82,64
2,89,-9914.571176470588,85.42882352941174,47,173,2,8,55,181,54
2,90,-9914.876470588235,85.12352941176471,146,109,4,5,35,192,114
2,91,-9917.45588235294,82.54411764705883,92,43,18,179,35,181,39
2,92,77.09117647058824,77.09117647058824,146,59,134,64,30,111,100
2,93,88.4229411764706,88.4229411764706,92,163,31,1,49,82,64
2,94,-9924.424705882353,75.57529411764705,98,43,18,179,157,181,100
2,95,76.48764705882353,76.48764705882353,91,141,68,32,153,123,160
2,96,91.90882352941178,91.90882352941178,40,134,178,27,1,82,6
2,97,74.96764705882353,74.96764705882353,132,68,174,39,58,200,2
2,98,-19946.083529411764,53.9164705882353,152,14,84,196,155,202,139
2,99,-9911.260588235295,88.73941176470586,47,10,37,51,26,182,142
3,0,106.44000000000001,106.44000000000001,47,10,68,27,1,82,6
3,1,105.64176470588235,105.64176470588235,127,56,4,3,1,82,6
3,2,100.8035294117647,100.8035294117647,91,56,68,27,1,82,6
3,3,95.05529411764705,95.05529411764705,91,141,68,27,1,82,6
3,4,94.39647058823529,94.39647058823529,92,43,18,179,1,82,6
3,5,-19905.642352941177,94.35764705882353,91,56,68,1,49,82,64
